player_id,name,birth_date,roster_position_code,bats,throws
677339,Ryan Holgate,6/8/2000,OF,L,L
684519,Omar De Los Santos,8/8/1999,RF,R,R
668721,Payton Henry,6/24/1997,C,R,R
806314,Beau Brewer,10/28/2001,3B,R,R
691264,Rikelbin De Castro,1/23/2003,IF,R,R
681450,Angel Cuenca,7/10/2001,RHS,R,R
680727,Steve Hajjar,8/7/2000,LHP,R,L
593958,Eduardo Rodriguez,4/7/1993,LHS,L,L
689487,Jose Rodriguez,10/12/1999,RHS,R,R
700296,Keiner Leon,10/29/2003,RHS,R,R
687352,Grant Ford,3/11/1998,RHP,R,R
666129,Braxton Garrett,8/5/1997,LHS,R,L
689763,Kyler Castillo,10/29/1997,LF,R,R
682985,Riley Greene,9/28/2000,LF,L,L
678850,Norkis Marcos,5/26/2001,SS,R,R
681962,Vinny Capra,7/7/1996,SS,R,R
694661,Riley Tirotta,8/21/1998,3B,R,R
681348,Hayden Jones,4/27/2000,C,L,R
691588,Ian Lewis,2/4/2003,SS,S,R
686236,Tanner Tredaway,8/24/1999,CF,R,R
805732,Kyle Crigger,6/4/1999,RHR,R,R
694331,Tyler Mattison,9/5/1999,RHP,R,R
621078,Brady Lail,8/9/1993,RHR,R,R
542947,Richard Bleier,4/16/1987,LHR,L,L
680606,Cristian Charle,6/2/2000,RHR,R,R
805315,Mike Walsh,1/17/2001,RHP,R,R
674287,Frainger Aranguren,3/17/1997,RHR,R,R
592779,Brock Stewart,10/3/1991,RHR,L,R
665854,Luis Oviedo,5/15/1999,RHS,R,R
691811,Darvin Garcia,4/25/1999,RHR,R,R
676902,Harrison Rutkowski,4/22/1999,LHS,R,L
682618,Misael Urbina,4/26/2002,CF,R,R
680918,Brady Allen,9/3/1999,OF,R,L
687628,Justin Boyd,3/30/2001,CF,R,R
805297,Alec Sayre,10/5/2000,OF,R,R
682728,Luis Chevalier,1/18/2002,SS,S,R
694362,Blake Dunn,9/5/1998,CF,R,R
680685,Ryder Green,5/5/2000,LF,R,R
694266,D'Andre Smith,5/10/2001,SS,R,R
692405,Jeremy Rivas,3/4/2003,SS,R,R
675276,Bryan Pope,1/27/1999,RHS,R,R
502154,Zach Britton,12/22/1987,LHR,L,L
683596,Wilgenis Alvarado,5/18/2000,LHS,L,L
680653,Denny Roman,9/30/1998,LHR,L,L
701464,Joseph Miller,3/13/2000,LHP,L,L
682697,Breidy Encarnacion,11/9/2000,RHP,R,R
681943,Will Kobos,8/3/1997,RHS,R,R
678821,Luis Peralta,1/6/2001,LHR,L,L
701643,Grant Hartwig,12/18/1997,RHR,R,R
683148,Cooper Benson,8/3/2000,LHS,L,L
805374,Tanner Jacobson,1/24/2000,RHS,R,R
694918,Blade Tidwell,6/8/2001,RHP,R,R
691711,Jawilme Ramirez,11/28/2001,RHS,R,R
680882,Nicoly Pina,10/8/1999,RHR,R,R
669070,Connor Cannon,5/16/1998,1B,R,R
664848,Donny Sands,5/16/1996,C,R,R
689160,Micah Yonamine,10/10/2000,1B,R,R
676423,Dylan Rock,8/21/1998,OF,R,R
681540,Dylan Neuse,12/22/1998,CF,R,R
676021,Luis Santos,1/4/2000,SS,R,R
682766,Alexeis Azuaje,4/24/2002,2B,R,R
672018,Dasan Brown,9/25/2001,CF,R,R
672602,Frank Veliz,9/10/1999,2B,R,R
681080,Caleb Ricketts,5/10/2000,C,L,R
688632,Matt Chamberlain,10/31/1998,CF,L,R
690988,Austin Hendrick,6/15/2001,OF,L,L
682452,Cesar Berbesi,4/13/2000,SS,L,R
685328,Ronis Aybar,1/13/2000,CF,L,R
681298,Alberto Gonzalez,7/26/1999,RHR,R,R
683638,Joel Valdez,4/28/2000,LHS,L,L
680212,Conor Larkin,3/17/1999,RHP,R,R
689117,Matthew Swain,8/20/1997,RHR,R,R
696148,Garrett Burhenn,9/12/1999,RHS,R,R
672651,Rodolfo Sanchez,1/12/2000,RHS,R,R
592254,Jose De Leon,8/7/1992,RHS,R,R
806628,Alex Bustamante,6/22/2000,RHS,R,R
687344,Kevin Milam,2/13/1998,RHR,R,R
694397,Marco Raya,8/7/2002,RHP,R,R
663924,Trey Cumbie,7/12/1996,LHR,L,L
682175,Joe Jacques,3/11/1995,LHR,L,L
677319,Cameron Barstad,11/29/2000,C,L,R
672536,Jhon Torres,3/29/2000,RF,R,R
806005,Ryan McCarty,4/22/1999,SS,R,R
678803,Anthony Garcia,9/5/2000,RF,S,R
695039,Jack-Thomas Wold,9/16/1999,1B,L,L
695370,Thomas Francisco,6/26/1999,1B,L,R
691789,Izaac Pacheco,11/18/2002,SS,L,R
669227,Kendall Simmons,4/11/2000,2B,R,R
694425,Justice Bigbie,1/24/1999,1B,R,R
680642,Darlin Moquete,9/19/1999,CF,R,R
672831,Nicolas Torres,9/23/1999,2B,R,R
687036,Zachary Zubia,11/4/1997,1B,R,R
657029,McCarthy Tatum,5/15/1996,3B,R,R
679311,Juan Crisp,5/23/2000,C,R,R
806657,Hudson Livesey,8/9/1999,C,S,R
676428,Brant Hurter,9/6/1998,LHP,L,L
672548,Edisson Gonzalez,10/2/1999,RHS,R,R
686607,Justin Fall,6/11/1999,LHP,L,L
681320,Nathan Lavender,1/20/2000,LHS,L,L
656083,Harol Gonzalez,3/2/1995,RHS,R,R
622694,Elieser Hernandez,5/3/1995,RHS,R,R
686488,Sandro Bargallo,12/29/2001,LHR,L,L
669243,Ryan Anderson,9/9/1998,LHP,L,L
695534,Chase Petty,4/4/2003,RHS,R,R
676498,Alex Cornwell,5/9/1999,LHP,L,L
687934,Jimmy Robbins,12/22/1997,LHS,L,L
683493,William Lugo,1/2/2002,SS,R,R
677623,Sander Mora,2/23/2001,SS,R,R
688311,Drake Osborn,7/22/1998,C,R,R
687557,Blaine McIntosh,6/9/2001,CF,L,L
800082,Andriel Lantigua,11/29/2003,C,R,R
700931,Seth Stephenson,1/10/2001,OF,S,R
681433,Noah Cardenas,9/10/1999,C,R,R
691907,Tsung-Che Cheng,7/26/2001,SS,L,L
683464,Amell Brazoban,10/9/2001,CF,R,R
683532,Christopher Familia,6/10/2000,CF,L,L
702222,Justin Crawford,1/13/2004,OF,L,R
685332,Carlos Mendoza,12/14/1999,CF,L,R
691910,Randy Vasquez,12/16/2002,SS,R,R
689041,Rhylan Thomas,4/15/2000,OF,L,L
683318,Ryan Leitch,8/26/2001,C,R,R
683563,Juan Jerez,11/28/2001,2B,R,R
694025,Felix Reyes,3/26/2001,OF,R,R
665155,Nick Maton,2/18/1997,3B,L,R
688602,Patrick Murphy,3/7/1997,LHP,L,L
693732,Estibenzon Jimenez,1/25/2002,RHS,R,R
682825,Luis Mey,6/24/2001,RHS,R,R
686763,Gunner Mayer,7/27/2000,RHP,R,R
676737,Billy Lescher,9/17/1995,RHR,R,R
694536,Trent Baker,12/28/1998,RHP,R,R
691725,Andrew Painter,4/10/2003,RHS,R,R
695344,Brett Lockwood,4/15/1997,RHR,L,R
691641,Jose Acuna,10/20/2002,RHS,R,R
682896,Reyson Santos,1/22/1999,RHR,R,R
665993,Cristhian Tortosa,10/30/1998,LHR,L,L
681644,Inohan Paniagua,2/6/2000,RHS,R,R
687924,Julian Aguiar,6/4/2001,RHP,L,R
682623,Starlyn Castillo,2/24/2002,RHP,R,R
676974,Max Meyer,3/12/1999,RHP,L,R
806188,Cade Gibson,2/18/1998,LHS,L,L
702914,Alex McKenney,5/11/1999,RHS,R,R
685807,Buddy Hayward,10/15/1998,RHS,R,R
681600,Wilmer Fenelon,10/18/2000,RHS,R,R
689461,Tanner Cooper,9/8/1999,RHR,R,R
697813,TJ Brock,8/10/1999,RHP,R,R
679702,Daniel Harper,6/1/1999,RHP,R,R
681111,Austin Schultz,2/21/2000,2B,R,R
680858,Albert Jerez,5/18/2001,SS,R,R
692371,Lizandro Espinoza,11/20/2002,SS,R,R
682218,Tyler Reichenborn,7/23/1998,CF,R,R
678372,Sebastian Almonte,10/22/1999,3B,R,R
620442,Wendell Rijo,9/4/1995,2B,R,R
694070,Yhoswar Garcia,9/13/2001,CF,R,R
694255,Jerry Huntzinger,2/15/1999,C,R,R
667428,Grant Koch,2/5/1997,C,R,R
676549,Jamal O'Guinn,1/19/1999,RF,R,R
691594,Javier Sanoja,9/3/2002,SS,R,R
702292,Chase Luttrell,6/1/2000,OF,L,L
702208,Dillon Tatum,5/24/2000,C,R,R
691858,Jared Serna,6/1/2002,2B,R,R
683094,Jordany Ventura,7/6/2000,RHS,R,R
672078,Eric Pardinho,1/5/2001,RHS,R,R
543557,Mike Montgomery,7/1/1989,LHR,L,L
683636,Juan Carela,12/15/2001,RHP,R,R
800857,Josh Bortka,7/12/1999,RHR,R,R
675965,Griffin Roberts,6/13/1996,RHS,R,R
678369,Jose Peralta,10/2/1999,RHR,R,R
681753,Adrian Hernandez,1/22/2000,RHR,R,R
683138,Fernando Lozano,1/11/2000,RHR,R,R
673380,Dedniel Nunez,6/5/1996,RHR,R,R
676686,Dante Mendoza,12/16/1998,RHS,R,R
679893,Manuel Urias,3/8/2001,RHS,R,R
669332,AJ Labas,12/8/1998,RHS,R,R
678981,Williander Moreno,3/13/1999,RHR,R,R
676442,Bailey Dees,2/5/1999,RHP,R,R
806277,Matt Hickey,5/11/1998,RHR,L,R
694943,Juan Gonzalez,2/20/2001,C,R,R
690792,David Martinez,10/16/1996,C,R,R
686490,Cameron Eden,3/31/1998,CF,R,R
668882,Mikey Perez,8/24/1999,SS,R,R
683504,Deivis Nadal,2/8/2002,SS,S,R
689748,Jose Rivera,9/7/1999,3B,R,R
625506,Aldrem Corredor,10/27/1995,1B,L,L
672850,Jorge Caballero,1/10/2000,LF,R,R
699302,Hector Rodriguez,3/11/2004,CF,L,R
678825,Eduardo Salazar,12/15/2000,CF,R,R
683104,Trey Faltine,1/8/2001,SS,R,R
690914,Brody Moore,7/20/2000,2B,R,R
691176,Jasson Dominguez,2/7/2003,CF,S,R
806585,Jack Dallas,12/18/1998,RHR,R,R
690603,Kris Bow,11/26/2000,RHP,R,R
701566,Connor Cooke,11/2/1999,RHS,R,R
681443,Kolby Kubichek,11/28/1999,RHP,R,R
669416,Blayne Enlow,3/21/1999,RHS,R,R
684041,Diorys Guerrero,2/1/2001,LHS,L,L
687985,Joshua White,11/24/2000,RHP,R,R
670251,John Wilson,7/17/1997,LHP,L,L
686597,Michael Dominguez,8/17/2000,RHS,R,R
802363,Jordan Geber,7/31/1999,RHS,R,R
688873,Matt Mullenbach,10/6/1996,RHR,R,R
669476,Jake Walters,3/11/1996,RHS,R,R
542921,Tim Beckham,1/27/1990,LF,R,R
686438,Rubel Cespedes,8/29/2000,3B,L,R
805268,Peyton Williams,9/14/2000,1B,L,L
681495,Cade Fergus,8/22/2000,OF,R,R
683330,J-C Masson,8/22/2002,OF,L,L
672460,Daniel Ozoria,8/24/2000,SS,S,R
692387,Jake Burns,2/17/2003,C,L,R
677624,Jesus Orecchia,4/22/2001,C,R,R
694202,Manuel Beltre,6/9/2004,SS,R,R
679026,Erick Pinales,1/27/1999,RHS,R,R
670436,Mike Ellenbest,8/20/1994,RHR,R,R
687987,Gerrit van Zijll,8/2/1996,LHS,L,L
680397,Sam Benschoter,3/17/1998,RHS,R,R
675530,Yoilan Quinonez,8/11/1999,RHS,R,R
687817,Andrew Marrero,5/8/2000,RHP,R,R
696070,Kendry Rojas,11/26/2002,LHS,L,L
679985,Trey Braithwaite,9/23/1997,RHS,R,R
680611,Xavier Concepcion,1/22/1998,RHR,R,R
672712,Luis Palacios,7/1/2000,LHR,L,L
683639,Carlos Jimenez,7/14/2002,RHS,R,R
666159,Matt Manning,1/28/1998,RHS,R,R
663878,Nate Pearson,8/20/1996,RHR,R,R
671960,Jordan Marks,4/29/1999,RHS,L,R
700930,Levi David,6/14/1999,RHS,R,R
683005,Brennan Malone,9/8/2000,RHP,R,R
687749,Jase Bowen,9/2/2000,CF,R,R
687394,Jack Brannigan,3/11/2001,SS,R,R
683671,Luis Hernandez,9/6/2000,C,R,R
